strains,AMP,AUG,AXO,AZI,CHL,CIP,COT,FIS,FOX,GEN,KAN,NAL,STR,TET,TIO
SRR1203018,1,1,0.25,#N/A,4,0.03,0.12,#N/A,4,0.5,#N/A,8,#N/A,4,1
SRR3932966,1,1,0.25,4,8,0.015,0.12,32,2,0.5,#N/A,4,8,4,1
SRR2082950,2,1,0.25,#N/A,8,0.03,0.12,64,4,0.25,#N/A,4,#N/A,4,1
SRR1528470,2,2,0.25,#N/A,8,0.01,0.12,32,2,0.25,#N/A,4,#N/A,4,1
SRR3665010,1,1,0.25,4,4,0.015,0.12,64,2,0.5,8,4,64,32,1
SRR1791384,1,1,0.25,#N/A,8,0.03,0.12,32,4,0.5,#N/A,4,#N/A,4,1
SRR1793270,1,1,0.25,#N/A,8,0.03,0.12,64,4,0.5,#N/A,4,#N/A,4,1
SRR3664839,1,1,0.25,2,4,0.015,0.12,256,2,16,16,2,64,4,1
SRR3173540,1,1,0.25,#N/A,8,0.01,0.12,64,4,0.25,#N/A,8,#N/A,4,1
SRR1363303,1,1,0.25,#N/A,8,0.01,0.12,#N/A,2,1,#N/A,4,#N/A,4,0.5
SRR2239949,1,1,0.25,2,4,0.015,0.125,16,2,0.5,#N/A,4,8,4,0.5
SRR3038500,32,32,32,4,8,0.015,0.25,256,32,0.5,#N/A,4,64,32,8
SRR1946995,1,1,0.25,#N/A,2,0.01,0.12,64,2,0.5,#N/A,2,64,32,0.5
SRR2533347,1,1,0.25,#N/A,8,0.01,0.12,64,2,0.5,#N/A,4,#N/A,4,1
SRR3933067,2,1,0.25,2,4,0.015,0.12,256,2,0.5,#N/A,4,32,32,1
SRR1752893,1,1,0.25,#N/A,8,0.01,0.12,32,1,0.25,#N/A,4,#N/A,4,0.5
SRR3146576,32,32,16,#N/A,8,0.01,0.12,256,32,0.25,#N/A,4,#N/A,32,8
SRR2724065,1,2,0.25,#N/A,4,0.03,0.12,64,2,0.5,#N/A,4,64,32,1
SRR1528529,2,1,0.25,#N/A,8,0.01,0.12,64,8,0.5,#N/A,4,#N/A,32,1
SRR2156502,1,1,0.25,#N/A,8,0.01,0.12,256,2,16,#N/A,4,64,32,1
